emp_id,name,dept_id,age,salary
1001,Emp_1001,2.0,53,79577
1002,Emp_1002,,57,65169
1003,Emp_1003,4.0,58,71709
1004,Emp_1004,3.0,35,59415
1005,Emp_1005,1.0,48,45685
1006,Emp_1006,1.0,40,45963
1007,Emp_1007,1.0,52,59698
1008,Emp_1008,5.0,30,92415
1009,Emp_1009,4.0,59,86400
1010,Emp_1010,4.0,38,85450
1011,Emp_1011,1.0,40,116962
1012,Emp_1012,,25,80711
1013,Emp_1013,5.0,32,101571
1014,Emp_1014,2.0,43,102607
1015,Emp_1015,1.0,25,50578
1016,Emp_1016,1.0,38,58842
1017,Emp_1017,2.0,29,46531
1018,Emp_1018,3.0,55,32170
1019,Emp_1019,3.0,32,37297
1020,Emp_1020,2.0,52,34163
1021,Emp_1021,4.0,32,70794
1022,Emp_1022,1.0,59,71787
1023,Emp_1023,2.0,42,87219
1024,Emp_1024,2.0,51,54448
1025,Emp_1025,3.0,31,99152
1026,Emp_1026,4.0,47,86437
1027,Emp_1027,1.0,48,58299
1028,Emp_1028,3.0,29,71119
1029,Emp_1029,3.0,29,107093
1030,Emp_1030,1.0,29,68648
1031,Emp_1031,4.0,55,44096
1032,Emp_1032,1.0,37,104279
1033,Emp_1033,1.0,34,37391
1034,Emp_1034,,44,104891
1035,Emp_1035,,33,92830
1036,Emp_1036,5.0,48,100783
1037,Emp_1037,2.0,43,70286
1038,Emp_1038,1.0,53,101826
1039,Emp_1039,4.0,48,67595
1040,Emp_1040,3.0,23,92740
1041,Emp_1041,1.0,54,80929
1042,Emp_1042,3.0,47,62827
1043,Emp_1043,1.0,49,56209
1044,Emp_1044,,40,110752
1045,Emp_1045,2.0,26,103396
1046,Emp_1046,4.0,54,108961
1047,Emp_1047,2.0,41,43806
1048,Emp_1048,3.0,51,55406
1049,Emp_1049,3.0,29,64360
1050,Emp_1050,1.0,59,110000
1051,Emp_1051,,38,68865
1052,Emp_1052,4.0,22,36458
1053,Emp_1053,,24,39151
1054,Emp_1054,5.0,47,84869
1055,Emp_1055,3.0,52,102024
1056,Emp_1056,,29,54541
1057,Emp_1057,1.0,29,51803
1058,Emp_1058,1.0,56,73183
1059,Emp_1059,1.0,49,74776
1060,Emp_1060,2.0,25,92323
1061,Emp_1061,2.0,37,41170
1062,Emp_1062,2.0,34,112966
1063,Emp_1063,5.0,41,77284
1064,Emp_1064,2.0,26,39260
1065,Emp_1065,2.0,58,37636
1066,Emp_1066,3.0,41,66108
1067,Emp_1067,1.0,45,45941
